humidity,soil_moisture,t_inside,t_outside
39.7,36,21.9,11.69
39.4,36,21.9,11.75
39.1,36,21.9,11.75
38.9,36,21.9,11.75
38.7,36,21.9,11.75
38.4,36,21.9,11.81
38.2,36,21.9,11.81
38.2,36,21.8,11.81
38.1,36,21.8,11.75
37.9,36,21.8,11.81
37.7,36,21.8,11.81
37.7,36,21.8,11.75
37.8,36,21.8,11.75
37.7,36,21.8,11.75
38.7,36,21.8,11.81
38.2,36,21.8,11.81
37.8,36,21.8,11.87
37.5,36,21.7,11.87
37.3,36,21.7,11.81
37.6,36,21.7,11.81
37.8,36,21.7,11.69
37.7,36,21.7,11.69
37.5,36,21.7,11.69
37.4,36,21.6,11.69
37.2,36,21.6,11.69
37.1,36,21.6,11.62
36.9,36,21.7,11.75
36.7,36,21.7,11.69
36.5,36,21.7,11.69
36.5,36,21.7,11.75
36.5,36,21.8,11.69
36.6,36,21.8,11.75
36.7,36,21.8,11.81
37,36,21.8,11.75
38.2,36,21.8,11.75
38.3,36,21.7,11.75
37.9,36,21.8,11.75
37.7,36,21.8,11.81
37.8,36,21.8,11.75
37.7,36,21.8,11.75
37.8,36,21.8,11.75
37.9,36,21.8,11.75
37.9,36,21.8,11.75
37.2,36,21.8,11.69
37.1,36,21.8,11.69
37.4,36,21.8,11.75
36.7,36,21.8,11.75
36.6,36,21.8,11.69
39.6,36,21.8,11.69
37.7,36,21.8,11.69
37.5,36,21.9,11.62
37.5,36,21.9,11.69
37.6,36,21.9,11.62
37.4,36,21.9,11.69
36.6,36,21.9,11.69
34.2,36,21.9,11.75
36.2,36,21.9,11.75
36,36,21.9,11.75
35.9,36,21.9,11.75
34.3,36,21.9,11.75
36.3,36,21.9,11.75
36.4,36,21.9,11.75
36.4,36,21.9,11.75
36.2,36,21.9,11.75
36.7,36,21.9,11.75
36.9,36,21.9,11.81
36.6,36,21.9,11.75
36.4,36,21.9,11.69
36.4,36,21.8,11.62
36.2,36,21.8,11.62
36.3,36,21.8,11.62
36.2,36,21.8,11.62
37.3,36,21.8,11.69
37.5,36,21.8,11.69
37.3,36,21.9,11.69
37,36,21.9,11.75
37.4,36,21.9,11.81
37.3,36,21.9,11.75
37.4,36,21.9,11.75
36.9,36,21.9,11.81
36.3,36,21.9,11.81
36.2,36,21.9,11.87
36.7,36,21.9,11.94
36.5,36,21.9,11.87
36.1,36,21.8,11.87
35.8,36,21.8,11.81
36.1,36,21.8,11.81
35.8,36,21.7,11.81
35.7,36,21.7,11.87
35.6,36,21.7,11.87
35.6,36,21.7,11.94
35.8,36,21.7,11.94
35.5,36,21.6,11.94
35.7,36,21.6,11.94
35.9,36,21.6,11.94
36.1,36,21.6,11.94
36.1,36,21.6,11.87
36.1,36,21.6,11.87
36.2,36,21.6,11.94
36.1,36,21.6,11.94
36.4,36,21.6,12
37.3,36,21.6,12
37.4,36,21.6,12
